,country,year,co2_emissions_per_capita,co2_cars,battery_electric_number,plugin_hybrid_number,full_mild_hybrid_number,petrol_number,diesel_gas_number,births_per_woman,life_expectancy,population_0-14_female,population_0-14_male,population_0-14_total,population_15-19_female,population_15-19_male,population_20-24_female,population_20-24_male,population_25-29_female,population_25-29_male,population_30-34_female,population_30-34_male,population_35-39_female,population_35-39_male,population_40-44_female,population_40-44_male,population_45-49_female,population_45-49_male,population_50-54_female,population_50-54_male,population_55-59_female,population_55-59_male,population_60-64_female,population_60-64_male,population_>65_female,population_>65_male,population_>65_total,population_female,population_male,population_total,gdp_per_capita_current_US$,gdp_current_US$,iso_code,biofuel_consumption,coal_consumption,fossil_fuel_consumption,gas_consumption,hydro_consumption,low_carbon_consumption,nuclear_consumption,oil_consumption,other_renewable_consumption,renewables_consumption,solar_consumption,wind_consumption,energy_per_capita_kWh,total_ghg_emissions_ktco2e,projection
12,Autriche,1960,,,,,,,,2.69,68.58560976,767293.0,799572.0,1566864.0,270752.0,279244.0,237901.0,244154.0,209370.0,217278.0,236172.0,224705.0,282023.0,208288.0,188785.0,139651.0,264918.0,205798.0,279338.0,226508.0,266317.0,224946.0,237528.0,180599.0,524345.0,332054.0,856398.0,3764742.0,3282797.0,7047539.0,935.4604268504154,6592693841.18495,AUT,,,,,,,,,,,,,,,
31,Belgique,1960,,,,,,,,2.54,69.70195122,1053282.0,1098742.0,2152022.0,270097.0,278382.0,289014.0,292056.0,314220.0,316005.0,325522.0,332206.0,338813.0,352842.0,230311.0,235566.0,305350.0,304014.0,314849.0,305742.0,309418.0,288746.0,275604.0,235830.0,623486.0,463393.0,1086878.0,4649965.0,4503524.0,9153489.0,1273.6916591028862,11658722590.99002,BEL,,,,,,,,,,,,,,,
42,Bulgarie,1960,,,,,,,,2.31,69.24756098,1005487.0,1047392.0,2052880.0,290399.0,299385.0,288055.0,290229.0,326660.0,329148.0,328757.0,333337.0,324749.0,323805.0,196957.0,196713.0,249549.0,255770.0,237198.0,242031.0,200012.0,199889.0,159582.0,146308.0,331931.0,264031.0,595963.0,3939336.0,3928038.0,7867374.0,,,BGR,,,,,,,,,,,,,,,
59,Croatie,1960,,,,,,,,2.288,64.60865854,556812.0,582151.0,1138961.0,145306.0,147406.0,165039.0,170774.0,176812.0,180000.0,174156.0,169091.0,165223.0,127846.0,105110.0,83503.0,130212.0,108208.0,139919.0,123887.0,119030.0,104610.0,98641.0,79502.0,175715.0,111229.0,286945.0,2151975.0,1988206.0,4140181.0,,,HRV,,,,,,,,,,,,,,,
62,Chypre,1960,,,,,,,,3.5,69.618,102873.0,107436.0,210309.0,24171.0,23400.0,24429.0,22631.0,20422.0,17781.0,20342.0,16940.0,15318.0,15448.0,17190.0,14861.0,13571.0,13971.0,15240.0,13010.0,9090.0,10189.0,11420.0,9377.0,17200.0,16623.0,33823.0,291266.0,281667.0,572933.0,,,CYP,,,,,,,,,,,,,,,
63,République tchèque,1960,,,,,,,,2.09,70.34878049,1208272.0,1262919.0,2471190.0,355901.0,366964.0,273198.0,277055.0,307393.0,311250.0,339669.0,336027.0,389118.0,370600.0,202997.0,191453.0,357866.0,340608.0,355294.0,335387.0,326833.0,297097.0,278734.0,219038.0,537425.0,360909.0,898336.0,4932700.0,4669306.0,9602006.0,,,CZE,,,,,,,,,,,,,,,
64,Danemark,1960,,,,,,,,2.57,72.17658537,561643.0,592774.0,1154416.0,186212.0,194652.0,149662.0,153342.0,139750.0,138674.0,144816.0,141760.0,157939.0,153493.0,151245.0,148515.0,154342.0,151244.0,148641.0,143716.0,133424.0,124567.0,118031.0,105599.0,261702.0,223859.0,485558.0,2307409.0,2272194.0,4579603.0,,,DNK,,,,,,,,,,,,,,,
72,Estonie,1960,,,,,,,,1.98,67.90290244,136323.0,143538.0,279864.0,40247.0,40944.0,49809.0,50195.0,51211.0,48177.0,56267.0,46848.0,50546.0,32526.0,34720.0,24598.0,44708.0,31043.0,44463.0,30110.0,42266.0,27146.0,37352.0,20727.0,88775.0,39000.0,127771.0,676686.0,534851.0,1211537.0,,,EST,,,,,,,,,,,,,,,
77,Finlande,1960,,,,,,,,2.72,68.8197561,659847.0,687059.0,1346904.0,175111.0,181174.0,154374.0,160281.0,143095.0,149163.0,153528.0,154672.0,155126.0,138917.0,136900.0,115970.0,148022.0,128286.0,143920.0,123314.0,121036.0,99319.0,101446.0,74463.0,203691.0,120920.0,324606.0,2296097.0,2133537.0,4429634.0,1179.35301099994,5224102195.527708,FIN,,,,,,,,,,,,,,,
78,France,1960,,,,,,,,2.85,69.86829268,6029126.0,6260948.0,12290073.0,1387975.0,1455712.0,1443223.0,1499932.0,1592651.0,1663802.0,1635084.0,1693858.0,1679057.0,1684305.0,1017256.0,1006947.0,1467666.0,1424626.0,1527813.0,1465194.0,1475388.0,1374065.0,1331458.0,1073674.0,3420314.0,2011612.0,5431926.0,24007012.0,22614676.0,46621688.0,1334.6895119044648,62225478000.88224,FRA,,,,,,,,,,,,,,,
